0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:37 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:37 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:37 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:38 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:38 +0700] "GET /web/ui/fonts/pridi-latin.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:38 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:40 +0700] "GET /web/login.htm?mode=showRequest HTTP/1.1" 200 54349
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:40 +0700] "GET /web/js/jquery.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:40 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:40 +0700] "GET /web/js/bootstrap.min.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:40 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:40 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:40 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:40 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:42 +0700] "GET /web/login.htm?mode=showProject HTTP/1.1" 200 58767
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:42 +0700] "GET /web/js/jquery.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:42 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:42 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:42 +0700] "GET /web/js/bootstrap.min.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:42 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:42 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:43 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:46 +0700] "GET /web/login.htm?mode=showRequest HTTP/1.1" 200 54349
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:46 +0700] "GET /web/js/jquery.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:46 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:46 +0700] "GET /web/js/bootstrap.min.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:46 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:47 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:47 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:47 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [28/Jul/2022:08:44:48 +0700] "GET /web/login.htm?mode=initProfile HTTP/1.1" 200 47795
