127.0.0.1 - - [11/Jul/2022:09:33:19 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:32 +0700] "GET /web HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:32 +0700] "GET /web/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/login.htm?mode=index HTTP/1.1" 200 16802
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/fonts/webfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/css/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/css/elegant-icons-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/css/style-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/css/jquery-ui-10.12.1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/css/style-button.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/css/materialize-color.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/css/bootstrap-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/sweetalert/css/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/js/jquery-ui-1.9.2.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/js/jquery.ui.1.8.10.offset.datepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/js/jquery-ui-1.10.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/js/jquery.scrollTo.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/js/jquery.customSelect.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2022:09:33:34 +0700] "GET /web/ui/js/scripts.js HTTP/1.1" 304 -
